AVALIANDO -&gt	 rejeitando artistas" d milhares d MILHÕES -&gt
Medo! RT @ChicodeOeiras: O Louçã Resolve! RT @jcaetanodias: Quais as alternativas? RT @ChicodeOeiras: Bolas porque raio havia o sócrate…	
Mas... encurralou ou não? RT @AldaTelles: MJ Avillez diz que Louçã encurralou Sócrates. Que pena ser um comentário do mais burguês que há.	
Mas se for Jerónimo Louçã... RT @AnaRitaGuerra: Há nomes que nunca podiam vingar na política. Tipo Santana Coelho ou Cavaco Sócrates.	
Mas não há quem aproveite um #debate para perguntar ao Louçã porque apoiou o FMI na Grécia? #fb	
Mas já não há Catroga. Voltamos às noites tristes. RT @CarlosLima7: Hoje há Passos-Portas, não é?	
Mas como é q Louçã pode exigir medidas concretas se nem um programa ainda tem? Teixeira tem razão: é um demagogo bem falante. #debate	
Mas alguém ouviu o Portas dizer que Portugal foi o que mais aumentou a sua dívida? Apenas disse que foi dos que mais aumentou.	
Maria João Avilez na SICN: Louçã fez de Sócrates um apanha-bolas	
mais um baile de Sócrates neste debate com Louçã	
Louçã: Taxa de juro a 5,5 por é um insulto à economia portuguesa": O líder do BE, Francisco Louçã, defendeu hoj... http://bit.ly/kPEfhg"	
Louçã: Redução da taxa social única é uma tragédia": O coordenador nacional do BE, Francisco Louçã, avisou segu... http://bit.ly/iWnp5K"	
Louçã: Devemos renegociar a dívida, já!": Em entrevista ao Expresso, Francisco Louçã, líder do Bloco de Esquerd... http://bit.ly/izs78G"	
Louçã, o político excêntrico RT@joaopcastro Costa acha Louçã um professor catedrático fantástico que faz propostas tresloucadas em público.	
Louca, o ilusionista RT @JornalNoticias: Ministro da Presidência nega carta do Governo e acusoa Francisco Louçã de fazer truques.	
Louçã, Jerónimo... sobre a troika, nem uma palavra: Louçã ficou de queixo caído quando ouviu falar nos juros que... http://bit.ly/jPexI0	
Louçã vs. Sócrates com um claro vencedor: Louçã http://ff.im/DaxBj	
Louçã propõe criação “fundo de resgate para a dívida”: Francisco Louçã apresentou hoje o programa eleitoral do B... http://bit.ly/mH03mg	
Louçã diz q silva pereira confirmou q aquilo que louçã leu no debate d ontem está no MoU. Ou seja, louçã n tinha lido o acordo com a troika	
lolol! RT @camandro O Paulo portas está a ver a #eurovision e a dizer que estes sanmarinos ainda são piores do que os que ele comprou!	
lolol RT @Apdeites: Quem disse isso? O Sócrates ou o Louçã? Passou-me... RT @Carla_46: tenho q fazer dieta	
LOL... @manuelparreira A forma como Sócrates fala com Louçã rasa a tensão sexual. Falemos de gravatas?	
Lol RT @olhodegato: #rtp Louçã vs Jerónimo Xanax zzzzzzzzzzzzzzzzzzzzzzzzzzz	
Lol RT @joaomiranda: @Rui_Castro @almaradona vocês estão a discutir se o Portas aldrabou num debate com o Sócrates? Com o Sócrates? (...)	
LOL RT @ChicodeOeiras: #debate Louçã sai como candidato a primeiro ministro	
LOL Francisco, LOLRT @ChicodeOeiras @Rui_Garcia @hugo_nunes então camaradas não concordam q o Louçã saiu como candidato a primeiro ministro?	
Linguagem facial é mt generoso.  É cara de tonto RT @joaopcastro Louçã ri-se ...Ninguém lhe explica que essa linguagem facial é d esastrosa?	
Lindo! Francisco Louçã acaba de encostar o Sócras às cordas!	
Lindo: Portas vs. Socas ontem, Portas mostra não reconhecer bandeiras de países EU http://ff.im/D6icT	
Liked Louçã: Taxa de juro é inaceitável e um insulto à economia- Economia - Jornal de negócios online" http://ff.im/D4MC9"	
Liked Louçã vs. Sócrates com um claro vencedor: Louçã" http://ff.im/-DaxBj"	
Li e Gostei: Ou seja, Louçã provou que Sócrates andou a mentir nestes dias http://ow.ly/1cC8vB	
li agora  ah ah ah RT @fcancio q tás a fumar? RT @ChicodeOeiras: #debate Louçã sai como candidato a primeiro ministro	
Judite?! @CarlosLima7: Sócrates não responde à carta do FMI e atira-se a Louçã. Judite de Sousa ouve""	
José Sócrates e Francisco Louçã em debate http://bit.ly/mFI9kB #Portugal	
JErónimo rematou da meia esquerda, num remate cruzado á meia volta... Louçã cabeceou, e bola foi... ao poste #debate #rtp	
Jerónimo e Louçã piscam o olho ao eleitorado socialista http://www.clubedosinvestidores.com/?p=25343	
Jerónimo e Louçã parecem Dupont e Dupond (sem os chapéus de coco) RT @CarlosLima7: Está a correr bem o debate?	
Já nas últimas eleições Paulo Portas tentou fazer a rábula do gráfico no debate com Louçã mas foi desmascarado.	
Já era hora :)RT @tomasvasques: #debate Sócrates ganha com a reestruturação da dívida. Louçã tremelica.	
Isto não é um combate de boxe" - Louçã É nesta altura q metade de audiência encolhe os ombros e faz pose sonhadora.."	
claro! @andrebeja está a falar dos banqueiros que mandam em sócrates @carlosavargas a minha geração nos últimos 15 anos só fez porcaria""	
Com atitudes como a de Sócrates Portugal arrisca-se a ter de reestruturar a dívida, diz Passos    http://ow.ly/4TiJG	
Isto era mais giro se metessem lá  Filpa Vacondeus, e o Jerónimo e o Louçã cozinhavam um bolo juntos: #debate	
Isso não é um debate, é uma luta de galos. Vê o de hoje RT @nunofelino Vendo o debate Portas/Socrates no youtube. Adoro estas coisas da net!	
Importa notar que nem todos os tweets terão a ver com o debate. Mas nestas 24h, Louçã teve + 420 menções que nas anteriores, pelo que...	
IH – a rábula de ler o que disse Louçã... mortal!!	
Hoje, não vou assistir ao debate Louçã-Jerónimo. É um programa para arqueólogos	
E então que se discute por aqui?o catroga?o debate de logo?ou a última aldrabice de Sócrates o homem-bancarrota?:-)	
Hoje concordo c/ @ChicodeOeiras. Louçã venceu. A mentira nunca vence! eh eh eh	
Hoje às 20.45H na SIC. Debate - Paulo Portas vs Pedro Passos Coelho.	
Habilidades que Paulo Portas aprendeu na Irlanda http://t.co/xCfQ3Fb	
Há políticos que só usam sound bites e neste registo não dá RT @bossito: Muito vago Louçã, assim não vai lá #debate	
Grande Louçã!!! Olé!!! Qual será o truque do sócrates hoje? A da pastinha vazia já está queimada #debate	
Governo nega carta ao FMI e critica Louçã: O ministro da Presidência negou hoje que o ministro das Finanças tenh... http://bit.ly/m6nRvB	
Gota de Água: O BE E FRANCISCO LOUÇÃ APOSTAM EM LEVAR A DIREITA ... http://t.co/JuttpsS	
Gostei do minuto final de Jerónimo de Sousa. Para mim, ganhou. :)	
Frente-a-frente: Louçã critica Sócrates pelos cortes previstos na Segurança Social. http://fb.me/ZjDUqxJp	
Franjas ou pint...diria o CatrogaRT @AldaTelles: Sempre à procura das franjas RT @estrelaserrano: Um grande voto novo, pede Louçã.	
Francisco Louçã: Taxa de juro de 5% é um insulto à economia portuguesa" http://www.ionline.pt//c122338"	
Francisco Louçã,não faz sentido estar sempre a dizer não me interrompa" se quando os outros falam você também interrompe. #debate #fb"	
Francisco Louçã, calma " Socrates #debate"	
está a falar dos banqueiros que mandam em sócrates @carlosavargas a minha geração nos últimos 15 anos só fez porcaria", eduardo_catroga"	
Francisco Louçã não sabe a diferença entre um bilião e um bilhão. Foda-se.	
Francisco Louçã está a pensar no 5 ou nos 6%...	
Francisco Louçã consegue apelar ao voto sem se rir...ai a culpa da burguesia.... #debate	
Faz hat-trick? RT @ChicodeOeiras: RT @PaulaOliveira: #debate Louçã está a dominar o debate... Estilo ponta-de-lança	
Falta o ouro do lado de cá ...cofres vazios/dependentes do inimigo....LOL RT @esgravatar: Sair do Euro não é aceitável, diz Louçã. #debate	
fala dos trilhões", Louçã	 deixa lá os "biliões", pá, não te metas nisso"
eu quero salvar o pais...", Louçã, medo.... muito medo!  #debate"	
Eu não percebo porque é que as televisões nos fazem perder tempo ao ouvir o Francisco Louçã quando mais valia ouvir 1 micro-partido. #debate	
Estranhos tempos que vivemos... RT “@tiagoant: Louçã a citar o Economist é demais...”	
Feitiço e feiticeiro RT @Publico: Louçã confrontou Sócrates com carta de garantias ao FMI, garante BE http://is.gd/n4waK3	
Estou a ver o debate Sócrates-Louçã de 2009. Sócrates está a esmagar Louçã por causa das deduções fiscais	
Estes senhores (Sócrates e Louçã) não vivem neste mundo!" - Maria João Avillez na SIC Notícias"	
Estes comentadores, pelo ódio que têm ao PS, não devem ter visto o mesmo debate que eu, ao dizerem que Louçã o poderá ter ganho. São loucos!	
Está um gajo descansadinho a fazer zaping" e depara-se com a imagem de Louçã e Jerónimo... ainda nos acredita… (cont) http://deck.ly/~QuCss"	
Está um deputado do Bloco na TVI24 a dizer que eles sempre defenderam a abolição do FMI. O Louçã é frouxo, não disse isso.	
Esta da TSU está linda! Depois de dois dias a criticar os outros... RT @CarlosLima7 Sócrates está a perder o ritmo. Louçã a marcar pontos	
Eleições: Sócrates defende redução da TSU quando houver margem orçamental", Louçã quer "renegociação dos juros":  http://bit.ly/kL279h"	
Eleições: Jerónimo de Sousa e Louçã coincidem nas críticas ao PS http://dstk.me/OkQ	
eheheheheheheheheheheheh RT @ChicodeOeiras: #debate até agora voto no Louçã	
Eheheh RT @pfl1976: lol no shit lol RT @ChicodeOeiras #debate até agora voto no Louçã	
ehehe seu laranja RT @nunoguimaraes78: Hoje concordo c/ @ChicodeOeiras. Louçã venceu. A mentira nunca vence! eh eh eh	
eheh, é o q eu digo, é cena forte o q fumas RT @ChicodeOeiras: @fcancio @pfl1976 estou inebriado pela coça que o Louçã está a dar no #debate	
Economia! “@Apdeites: Senhor Doutor"? O Louçã é doutorado em quê?”"	
Economia domina debate entre Sócrates e Louçã http://ow.ly/4Sxl5	
E tem um olhar meiguinhoRT @CarlosLima7: O camarada Jerónimo de Sousa está em grande forma	
E sai o prémio para o tweet mais estratosférico da noite!  RT @ChicodeOeiras #debate Louçã sai como candidato a primeiro ministro	
é pá, não chega ainda do gráfico do paneleiro portas? O paneleiro engenheiro que tirou o curso à má fila nem foi exonerado por isso, foda-se	
E os elogios de Maria João Avilez a Louçã é prova que Sócrates ganhou o #debate	
É impressão minha ou Sócrates está a levar uma tareia de Louçã?	
É impressão minha ou o Louçã está a entalar Sócrates com esta conversa da TSU e o que disse o FMI???	
E hoje assisto ao debate entre J. Sócrates e F. Louçã. Até agora está a ser interessante.	
e fazem olhinhos um ao outro? RT @bytoke: Ao menos Louçã olha para Sócrates, ao contrário de outros candidatos... #debate	
Doutorado em Economia e não foi ao domingo :):) RT @Apdeites: Senhor Doutor"? O Louçã é doutorado em quê?"	
DN-opiniao A táctica (2): Paulo Portas entrou intrépido na campanha eleitoral (o anacronismo da noção de pré-ca... http://bit.ly/jwn0r6"	
Louçã confrontou Sócrates com carta de garantias ao FMI, garante BE http://publico.pt/1493897	
Discurso mesquinho e populista, o de Francisço Louçã ... #bahh	
Despacha a demagogia toda de uma vez RT @ChicodeOeiras #debate Louçã tem dois debates seguidos... isto no futebol não se passava	
derrota de quem? RT @bombinte: Louçã foi de férias para a praia, mais o iPad e o Economist. A derrota no dia 5 vai ser um alívio.	
Debate Paulo Portas vs Sócrates! As microexpressões do Zé http://t.co/z7WqZCA	
Debate Passos Coelho-Paulo Portas em nova operação especial Parlamento Global-SIC Notícias  http://ow.ly/4THvs	
Debate morno entre PCP e Bloco: O líder do PCP, Jerónimo de Sousa, e o coordenador do Bloco de Esquerda, Francis... http://bit.ly/ihYAwD	
Debate entre Sócrates e Louçã na SIC visto por 1,1 milhões de telespectadores http://publico.pt/1493857	
Debate entre Passos Coelho e Paulo Portas: antevisão, comentários e análise a partir das 19:00: Hoje, a partir d... http://bit.ly/mAMUzO	
Debate entre Louçã e Jerónimo é assim uma espécie de Moldávia-Azerbaijão no apuramento para o Euro 2012.	
Da respiração: Com quatro debates transmitidos (Jerónimo/Portas, Portas/Sócrates, Jerónimo/Passos e Louçã/Sócrat... http://bit.ly/kjHRiL	
criticam os gráficos do Portas mas os deles ficam sempre em 2008 http://goo.gl/uVIp6, porque será?	
Mira Amaral: Sócrates não leu texto que assinou com 'troika" http://xl.pt/r/jdy960"	
Como tenho trabalho nocturno, não vou poder assistir ao debate entre J. Sócrates e F. Louçã. Com muita pena minha.	
Como fazer Louçã parecer cool? Colocar Jeronimo de Sousa na mesma sala!	
Com Louçã? Temo q seja impossível. RT @nuvensdefumo: #Debate não seja demagogico :D	
COELHO ESPERA SOCRATES E PORTAS NA TVI  http://youtu.be/0qqSv9T-Lj0	
Não contem comigo para fazer de José Sócrates, para dizer que vai ser tudo fácil, para não dizer a verdade. http://ow.ly/4SAXT	
claro q ganhou o Louçã, duh RT @bombinte: @ChicodeOeiras Duh! :-)	
Citando Churchill: Hoje estou com o Louçã""	
Catroga e PPC oelho não conseguem ter lata p/ aparecer a criticar recessão, depois dos cortes pedidos, mandam o Moedas....	
Caro Jerónimo de Sousa, a água que bebo é privada. A pública sabe a merda. #debate #rtp1	
CANTIGUEIRO": Francisco Louçã – Apenas para espairecer... http://t.co/kQvo5DQ"	
Calendário de debates na televisão para as legislativas 2011: 12 de Maio (RTP): Francisco Louçã e Jerónimo de So... http://bit.ly/mT8HdP	
Bravo! Pulo Portas descodificado! RT @danieloliva: O gráfico malandro de Paulo Portas (Expresso Online) http://bit.ly/kebWDn	
boa! O BE sobe para 6% “@JMF1957: #debate No site Parlamento Global, 55% dão vitória a Louçã, 37% a Sócrates. Concordo com o veredicto.”	
Bloco de Esquerda apresenta programa eleitoral: Francisco Louçã apresentou nesta quinta feira o compromisso do Bloco... http://dlvr.it/RVJff	
Bloco apresenta programa eleitoral na quinta feira: Francisco Louçã apresentará o programa eleitoral do Bloco na... http://dlvr.it/RMRgC	
Bernardino não entende porque é que se insiste em tentar perceber as diferenças entre PC e Bloco num debate Jerónimo/Louçã.	
Bem... há quem ande por aí nas redes sociais a dizer que Paulo Portas mentiu com o gráfico de ontem... nada me… (cont) http://deck.ly/~XLT2G	
Avilez e Costa adoraram a forma como PSD foi defendido por Louçã no tema da TSU.	
Aventar: Louçã leva Sócrates ao tapete. Até doeu. http://kapa.biz/lpc	
Att: da CNE 	-) @ChicodeOeiras: @AldaTelles dou-te uma caixa de gelado para n dizeres mal do Louçã  #suborno""
Até pisco os olhos a Louçã RT @JMF1957: #debate Depois de ter perdido o debate com Portas, Sócrates está a levar uma abada de Louçã	
Até o Ricardo eu sou muita bom Costa da SICN acha aque Louçã ganhou o debate	
Até às tábuas RT @mkt0: Mas... encurralou ou não? RT @AldaTelles: MJ Avillez diz que Louçã encurralou Sócrates… (cont) http://deck.ly/~6lAbR	
Até agora ou sempre eheheh  ? RT @ChicodeOeiras: #debate até agora voto no Louçã	
As sondagens - O Bloco está em vias de extinção (e ainda antes do desaparecimento de Louçã, uma surpresa para  http://ow.ly/1cCUlD	
As politricks nacionais dava um filme RT @Renascenca:Veja a carta secreta" que Louçã diz que o Governo enviou à troika http://dlvr.it/RVZZc"	
Aquele castanho-claro do cabelo do Doutor Louçã é colorido natural? (pois... mas em quantidade de cabelo ganha o Engenheiro!)	
Aquelas pessoas que votavam Cavaco pq era o Exmo Prof de Finanças, agora votarão em quem? Em Louçã?	
Ao nível dos grandes desportistas! Sempre em forma? RT @ChicodeOeiras: Louçã tem dois debates seguidos... isto no futebol não se passava	
AO MINUTO: «Combate de Blogs» segue #debate Jerónimo/Louçã  @TVI24 http://t.co/bxoZlP5	
Ao menos Louçã olha para Sócrates, ao contrário de outros candidatos... #debate	
Alô, alô? PSD à escuta?: Louçã quer combater a burguesia e isso, convenhamos, não tranquiliza o País. Reestrutur... http://bit.ly/jskcUz	
Alguém sabe onde é que se consegue ler a carta que o governo enviou ao FMI e que foi citada pelo Louçã?	
ainda a pensar no debate d ontem do aldrabao vs o dr paulo portas..	
Ai está o grande camarada Jerónimo de Sousa #debate #rtp1	
Agora Louçã levou uma tareia. Não? RT @ChicodeOeiras: #debate Sócrates vai buscar a moção do Bloco	
Agora Louçã esteve bem	
Agora a Judite enrola um Charro recorda Bob Marley e partilha com Louçã e Sócrates #debate	
Afinal, a carta é um memo! RT @SICNoticias: Min Presidência nega carta do Governo ao FMI e acusa Louçã de um truque"  http://ow.ly/4TiEJ"	
Afinal a carta" que Louçã referiu no debate com Sócrates não existe. Talvez seja o memorando, talvez não."	
Adoro ver o Louçã a ser sodomizado #debate	
Adorava saber se o Jerónimo de Sousa e o Anacleto Louçã acreditam mesmo naquilo que dizem...	
Admira-me como é q Louçã sabe tanto do acordo q foi firmado com a Troika, qdo nem sequer se dignou a contribuir p/ a sua elaboração. #debate	
Acordo com a troika 'não pode ser pago', diz Louçã - Política - Sol http://t.co/DYZrBLc vía @AddThis	
Acompanhe o #debate entre Passos Coelho e Paulo Portas no tvi24.pt AO MINUTO	
Acho que o sócrates tb tinha um! RT @_sergioserra: @_jalves estavas admirado de n ver iPads nos debates, o sr. Louçã sacou do seu. Lol	
Acho piada aos que falam de desonestidade no gráfico de Portas e ignorem que Sócrates apresentou variações rel… (cont) http://deck.ly/~7Ii3x	
aahahahfrancisco_louçã ganhou o debate""	
Ãããh!?? Sócrates – Louçã: Valupi. Filed under: geral, política nacional, sociedade Tagged: debate nacional, F-Se... http://bit.ly/joWgcc	
A, Costa afirna não existir documento apresentado ontem por Louçã.Um dos 2 é um verme:ou por mentir sb documento, ou por apresentar um falso	
A senhora faz as perguntas, eu dou as respostas - Louçã #debate	
A Ordem está silenciada... RT @Berrador o louçã chama-lhe engenheiro??? e a ordem dos engenheiros não faz nada??? q classe	
A mim tb choca ver o Portas manipular gráficos. Mas tb  m choca a desonestidade intelectual d quem não critica Sócrates por fazer o mm...	
A ler sobre gráficos, Portas e Sócrates - O pai é que sabe http://bit.ly/mtLeIl	
a lata, A LATA!!! e a pouca vergonha. RT @ptnik Os Gráficos do Portas http://goo.gl/fb/I9qJ7	
A forma como Sócrates fala com Louçã rasa a tensão sexual. Falemos de gravatas?	
A disposição em estúdio está mal feita. Louçã e Jerónimo deviam estar sentados um ao lado do outro. #debate	
A diferença que uma bancarrota faz: no debate de 2009, Sócrates demoliu Louçã. Hoje, na melhor das hipóteses conseguiu um empate.	
A diferença no discurso é abismal - o complexo de superioridade de Sócrates sobrepõe-se ao complexo de inferioridade de Louçã #debate	
A desonestidade de Paulo Portas e o seu gráfico mentiroso http://j.mp/mb1wan	
A conversa entre um Economista e um Operário metalúrgico, parece um monólogo, só comparável aos monólogos da vagina #debate #rtp	
A carta que Louçã citou no debate com Sócrates (link tem PDF para a carta) - Política - PUBLICO.PT http://ff.im/DeuBg	
A carta do Louçã foi o maior golpe de publicidade até agora. E não muito limpo. Louçã devia ir dar formação de mkt político!	
A cara de Sócrates quando Louçã puxou da The Economist é priceless.	
à burguesia nao foi. RT @fcancio: 'esse maremoto contra o trabalhador'. onde é q louçã vai buscar estas expressões ridículas?	
	) “@ChicodeOlheiras: sim em bonito claro RT @sasealves: mas em bonito. :)“@ChicodeOeiras: #debate louçã arrasou até parecia eu””
#terceiro: contraste claro deste debate do de Portas com Socrates. Hoje houve propostas, ontem só tactica e politiquice	
#sapo Louçã embaraça Sócrates com “conversinha” sobre Segurança Social: ao momento, um dos… http://goo.gl/fb/QL9fz	
#sábado Louçã apresenta programa eleitoral do BE quinta-feira às 12h00: O coordenador da comissão política do BE... http://bit.ly/iXW5q5	
#rtp Paulo Portas propõe racionalização das juntas em vez da extinção de freguesias: O presidente do CDS-PP, Pau... http://bit.ly/j8120m	
#rtp Louçã vs Jerónimo Xanax zzzzzzzzzzzzzzzzzzzzzzzzzzz	
#rtp Louçã mostra carta do Governo ao FMI, Sócrates quer descida da TSU pequena" e "gradual": O secre... http://bit.ly/l4qxZA #economia"	
#rtp Louçã ataca compromissos do Governo com FMI, Sócrates indigna-se com renegociação da dívida: A ec... http://bit.ly/jcJZXW #economia	
#rtp Louçã antevê gigantesco aumento de impostos" com pacote do FMI e da UE: Um imposto sobre as mais-valias ur... http://bit.ly/jyUYJW"	
#PT RT @JMF1957: #debate Quando a classe média vai à carteira encontra lá uma mão, mas não é a minha" - Louçã"	
#jn Portas dá 90 dias para extinção de empresas públicas e institutos: Em três meses, cada ministro do próximo G... http://bit.ly/m84GKt	
#jn Passos arranca campanha nos Açores e aposta nos contactos de rua: O líder do PSD arranca amanhã, sábado, a p... http://bit.ly/l52Cm3	
#debate vou acompanhar o debate entre louçã vs jerónimo	
#debate vamos não pagar a parte da dívida, mas fiquemos no euro. O xôr Louçã acha isto realmente exequível ou é standup comedy?	
#debate uma coisa mais une Louçã e Sócrates, ambos preferem entrevistas a debates...	
#debate Toma Louçã hehehehe	
#debate Tanto Louçã como Jerónimo defendem a reestruturação da dívida portuguesa	
#debate Sócrates o campeão do aumento do IVA". Boa dica do Luís do Louçã."	
“SNS é o garante da igualdade no acesso à saúde”: José Sócrates afirmou hoje em Braga que o Serviço Nacional de ... http://bit.ly/ih74rF	
«A política não é uma brincadeira de crianças», diz Sócrates «pois não paspalho», digo EU ! http://bit.ly/kJSskb	
#debate Sócrates mais contundente com Louçã do que com Portas	
#debate Sócrates lê a definição de reestruturação de Louçã.. Não pagar"... E convence?"	
«parem com as brejeirices, porque isso em nada dignifica a vida política nacional» #2: Não só Sócrates fez uma a... http://bit.ly/jBMSQE	
#debate Sócrates está menos assertivo, desta vez não está a ganhar a Louçã, o PS é apenas propaganda,,,	
(Antena 1)  Sócrates acusa Passos Coelho de ìbrincadeiras de criançasî http://dlvr.it/RY52w	
[A Minha Agenda] 7 de Maio de 2011  António Barreto: «José Sócrates deve ser severamente punido nas próximas eleiçõe... http://ow.ly/1cDhNE	
[DN] PSD diz que recessão é resultado da negação de Sócrates: PSD diz que recessão é resultado da negação de Sóc... http://bit.ly/m0zPwj	
[DN]: Defendo a existência de um governo com maioria na AR": O seu nome surpreendeu quando o líder socialista o... http://bit.ly/iPcttz"	
[ECONÓMICO] Sócrates devia ter 10% nas sondagens": "Sócrates devia ter 10% nas sondagens"Eduardo Catogra consid... http://bit.ly/iyHsDU"	
[ECONOMICO]: “SNS é o garante da igualdade no acesso à saúde”: José Sócrates afirmou hoje em Braga que o Serviço... http://bit.ly/ih74rF	
[ECONOMICO]: Desemprego é o preço a pagar pela consolidação orçamental": José Sócrates disse hoje que "a única ... http://bit.ly/iSPfEF"	
[ECONOMICO]: Sócrates devia ter 10% nas sondagens": Eduardo Catogra considerou hoje que a estratégia de comunic... http://bit.ly/jGs4eZ"	
[Publico]  Louçã confrontou Sócrates com carta de garantias ao FMI, garante BE http://goo.gl/fb/xoqUU	
[Publico]  Sócrates: recessão do primeiro trimestre em linha com as previsões do Governo http://goo.gl/fb/yDLsm	
#debate Sócrates está em muito pior forma do que em 2009. Hoje, durante muitos momentos, chegou a ser encostado às cordas por Louçã.	
#debate Sócrates entalado pela carta do ministro das Finanças. É a vingança de Louçã depois do que se passou no debate de 2009.	
[TSF]: Portugal não precisa de lideranças que discutem «cenários catastrofistas», diz Sócrates: José Sócrates de... http://bit.ly/lJ4lOm	
#debate Sócrates em 2009 ganhou claramente o debate a Louçã, hoje está a perder...	
[ULTIMAS] Portugal não precisa de lideranças que discutem «cenários catastrofistas», diz Sócrates http://bit.ly/mkiKZr	
#debate Sócrates e Louçã não falam de cortes na despesa. Tem piada, pq o programa de governo da troika é um bocadinho diferente.	
@AldaTelles A questão é que Catroga tem alguma razão. Em escalas diferentes claro, mas Hitler e Socrates partilham a mentira compulsiva...	
@AldaTelles Certo. E por isso acredito que Sócrates não tem lugar na nossa Democracia. Não precisamos de mentirosos.	
@AldaTelles e o socrates pelo contrário disse que não lê o FT!! Deve ser muito tecnico!	
@alexaem Vais votar no Sócrates, que novidade.	
@almaradona Se a preparação é o que conta, então Sócrates é o PM certo.	
@andrecruzzz mil milhões deu o Sócras numa cerimónia em 2009 (!!!!) perante as marcas de auto. Algumas fecharam produção em 2010.	
@bifeahcasa Epa, a serio. Mt bem, Hitler foi assassino e criminoso, mas no q toca a manietar a nação, Sócrates e Hitler nem são mt diferents	
@bombinte Não me apetece nada chegar ao limite e há quem o ultrapasse vg Sócrates e amigos	
@carlosavargas @economiaportuga - andam todos a brincar. vai uma aposta q na prox ECOFIN (16/17.5)... baixam? (Sócrates vai cobrar depois)	
@carlosavargas @filipelib @joaomiranda @jmf1957 O que acham de fazer uma Google Bomb José Sócrates &lt	Err:509
#debate Sócrates e Louçã já terminaram o debate, na prática isto já não sai daqui	
@catarinam FT stands for Financial Times. Numa entrevista do Sócrates em S.Bento havia 1pavão que estava smp a piar,tipo estás a mentir"!.."	
@ChicodeOeiras  e o socrates eu não viro as costas ao meu país""	
#Debate Sócrates daqui a nada está a chamar nomes à tia do Louçã....	
@DonSegismundo Tanto como o Sócrates acreditar que a culpa é toda da crise internacional!	
@Dputamadre gosto do novo logo :)) #Socrates	
@dputamadre gosto! tem uma certa energia positiva :) #prozac #socrates	
@Dputamadre mas o #Socrates toma Prozac!	
@emot é claro q ñ existe nenhum intuito d exprimir a ideia d q o ps é tão perigoso como os nazis, ou sócrates tão criminoso como hitler	
#debate será um ipad1 ou 2? RT @bombinte: Louçã tem um iPad. Like!	
@filipelib Por isso mesmo era perfeito! Google Bomb Sócrates &lt	Err:520
@G_L @joaomiranda Ouvir alguém que não próprio dizer que Sócrates é socialista é a melhor anedota que ouvi nos últimos anos! :-)	
@G_L Eu diria mais: eleições para quê, mandato vitalício para Sócrates! Já agora, porque não torná-lo Rei?	
@G_L isso foi antes da bancarrota Sócrates @os_comediantes	
#debate Se o Francisco Louçã fizer parte do governo?" Que exagero Clara de Sousa"	
@helderlib @joaomiranda @G_L @filipelib E Sócrates aumentou impostos única e exclusivamente para compensar maior despesa.	
#debate se desenvolvermos a Agricultura, as Pescas... se começarmos a produzir mais, iremos dever menos", diz Jerónimo de Sousa"	
@hpacheco Por isso, seja Sócrates o Passos, nenhum dos 2 me parece melhor ou pior que o outro. São a mesma merda, do mesmo saco.	
@linaaaa @Cibereconomia nesta arte o sócrates&comitiva são exímios	
@manela98 Conto com o Sócrates e amigos para destruir de vez o Estado Social. @rui_castro	
@passoscoelho Essa passo . Prefiro contar com Sócrates. #apombalivre  #fmi #troika	
@Renascenca: Passos Coelho acusa José Sócrates de “esperteza saloia” http://bit.ly/lQV3sk""	
@RicardoMSantos @FatimaRD começo a suspeitar que o Socas comprou o Blogger à Google com o € do MFI só para calar o ricardo! :P	
@rsaraiva Sócrates vai inaugurar o novo hospital de Braga hoje. Diz que aparece lá.	
#debate RT @margvs: Louçã não vai às reunioes e diz q decidimos desistir de falar com a europa. Não desistimos -- desistiu.	
#debate Pede-se à Louçã e Jerónimo que salvem à esquerda deste país, pelo menos tentem. Ao contrário do que fizeram até agora	
@SICNoticias: Com atitudes como a de Sócrates Portugal arrisca-se a ter de reestruturar a dívida, diz Passos  http://bit.ly/l9xOud""	
#debate Parece que foi o Louçã que trouxe o FMI	
#debate Olha, olha. O Francisco Louçã a apanhar Sócrates a mentir. Não será grande novidade, mas é um bom ponto para Louçã.	
@ZW3I a escolha é tua, és 1 homem livre. convém é que tenhas a noção de q vais dar o teu contributo p/ reforçar a votação de sócrates 	)
@ZW3I não carreguei no tom, limitei-me a constatar evidência. em PT safam-se os espertos. sócrates é o exemplo acabado dessa forma de estar	
#antena1 PSD diz que recessão é resultado do permanente estado de negação" de Sócrates: O PSD considerou hoje q... http://bit.ly/iDL0D6"	
#debate oh sr louçã!! pior do que as importações é o nivel de divida actual que tem de ser pago actualmente!! isso é que era ruinoso!!	
#debate o senhor contra a banca agora está preocupado com os credores..não é Louçã que percebe de economia?	
#debate ao contrário de Louçã, Jerónimo defende que o problema não está em sócrates mas sim no PS. E bem.	
#debate começa com a pergunta: Porquê votar no BE em vez de votar no PCP e vice-versa», mas Louçã começa a falar de Sócrates"	
#debate O que o BE propõe?" Isto é o que estraga tudo ao Francisco Louçã."	
#debate o que é o Bloco, pergunta o entrevistador. louçã foge à resposta, dizendo que é socialista	
#debate O modelo de Louçã ainda é o da Albania de Enver Hocha?	
#debate ó Louçã, responde lá!	
#debate O louçã está sedento de vingança, do debate das legislativas de 2009!!! até esbugalha os óculos!!	
